Country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
India,122.287,128.465,128.913,123.529,124.343,122.403,114.425,111.706,110.369,104.382,100.704,99.575,93.536,86.914,73.229,55.703,47.951,45.112,48.306,41.494,39.222,36.935,34.535,33.962,34.643,22.432,20.025,20.42,19.275,17.701,17.278,17.234
Ireland,15.814,16.584,16.457,15.454,14.375,14.338,15.842,17.063,19.05,20.021,19.615,19.879,19.449,18.854,17.568,16.689,16.387,16.909,16.533,15.939,14.665,12.403,11.332,9.655,8.511,7.924,7.217,6.603,6.37,5.796,5.867,5.941
Iran,85.872,75.329,69.624,62.178,51.797,46.965,42.741,39.719,38.016,36.898,35.483,34.432,33.655,33.229,33.222,33.331,33.917,34.106,34.128,34.439,34.998,36.442,39.277,40.234,39.594,37.97,37.001,39.664,37.878,33.325,30.776,30.155
Iraq,71.342,72.709,71.973,72.684,71.735,69.697,66.704,65.043,63.307,62.814,62.309,60.029,61.12,64.436,70.417,73.547,77.653,77.966,77.017,79.51,83.902,87.614,85.9,83.891,81.138,75.916,71.676,68.118,66.424,65.122,63.664,62.192
Iceland,32.803,30.828,27.519,24.699,23.354,22.265,21.695,23.114,24.389,24.039,22.926,20.426,18.554,16.159,13.6,13.125,12.976,13.664,14.078,14.028,12.881,11.257,10.787,8.671,8.199,7.482,6.709,6.047,5.699,5.538,5.51,5.395
Israel,20.344,20.736,19.24,19.157,18.836,18.931,18.828,17.201,18.02,17.553,17.29,16.741,16.348,16.288,15.683,15.096,14.445,14.136,14.142,13.732,13.367,12.449,11.518,10.263,9.919,9.937,9.505,8.724,8.086,8.12,7.58,7.614
Italy,9.021,8.565,8.12,8.257,7.803,7.361,7.029,6.368,6.359,7.088,7.26,7.043,6.953,7.062,7.251,7.017,6.836,6.811,7.188,7.051,6.867,6.653,6.503,5.954,5.675,5.214,4.883,4.438,4.133,3.878,3.881,3.993
Jamaica,104.445,105.007,105.071,103.286,100.855,97.751,92.383,91.028,88.956,83.9,74.835,73.052,70.518,69.101,68.767,66.019,65.782,59.595,58.165,56.882,52.838,52.6,52.798,50.954,46.678,45.715,41.868,38.554,35.232,33.952,33.313,32.764
Jordan,54.236,52.967,51.283,50.528,50.829,51.194,48.006,44.538,40.503,38.189,35.928,34.842,34.325,34.534,35.454,34.128,33.616,34.858,34.715,35.304,36.014,32.468,32.793,33.087,31.85,30.402,28.903,27.941,27.314,26.578,25.812,25.369
Japan,3.484,3.779,3.989,4.036,4.087,3.981,4.045,4.335,4.611,4.881,5.426,5.744,5.973,5.696,5.565,5.233,5.15,5.046,5.122,4.887,4.561,4.408,4.341,4.371,4.345,4.027,3.742,3.29,2.992,2.808,2.887,2.903
